"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Bile_acid_synthesis_FBA",528.7352798,149.041062435,0.593200138973491,0.746769718098607,0.281882197252615
"LipidUnsat_FBA",0,0,0.606599532425563,0.754428802044641,NA
"SA_Linoleate_metabolism_L1w",0,0,0.607041963419847,0.754428802044641,NA
"SA_Fatty_acid_oxidation_pFBA",8.045e-06,1.088e-05,0.608410324229549,0.754428802044641,1.35239279055314
"SA_Pyruvate_metabolism_pFBA",7.41e-05,5.055e-05,0.625550673912511,0.764031023643916,0.682186234817814
"SA_Tyrosine_metabolism_FBA",1625.8292845,1584.5285875,0.626199735144329,0.764031023643916,0.974597150270484
"SA_Butanoate_metabolism_L1w",0,0,0.628746729956465,0.764031023643916,NA
"SA_NAD_metabolism_L1w",0.4043211675,0.00039392,0.629657909230009,0.764031023643916,0.00097427498648089
"WarburgIndex_pFBA",-0.0012266655,-0.0011150985,0.631557902608882,0.764031023643916,0.909048554801615
"SA_Pentose_phosphate_pathway_FBA",1818.181818,1579.291932,0.637815758846716,0.767855865019348,0.868610562686861
"SA_Tyrosine_metabolism_pFBA",0,0,0.643894964694221,0.771429716155395,NA
"SA_Tryptophan_metabolism_FBA",305.5275385,327.3804933,0.663198096453358,0.790736191925158,1.07152531947623
"RedoxIndex_pFBA",0,0,0.675365563448863,0.797631929566749,NA
"SA_N_glycan_synthesis_L1w",0,0,0.676346107310951,0.797631929566749,NA
"SA_Tetrahydrobiopterin_metabolism_FBA",0,0,0.678630391687839,0.797631929566749,NA
"SA_Peptide_metabolism_FBA",7888.0371975,7831.498285,0.715200459202721,0.836649593784315,0.99283232176974
"SA_Limonene_and_pinene_degradation_L1w",0,0,0.756915393958524,0.880818396427483,NA
"SA_Ubiquinone_synthesis_L1w",0,0,0.760061035626941,0.880818396427483,NA
"SA_Glycine__serine__alanine__and_threonine_metabolism_FBA",1157.384879,1100.918315,0.76923468363052,0.881474673231552,0.951211939066641
"SA_Phenylalanine_metabolism_FBA",0,0,0.771252844180144,0.881474673231552,NA
"SA_Oxidative_phosphorylation_FBA",1.901458333,1.336145833,0.773484415432031,0.881474673231552,0.70269529960823
"SA_NAD_metabolism_pFBA",0,0,0.774844672437413,0.881474673231552,NA
"SA_Purine_synthesis_FBA",0,0,0.779141711855208,0.882315728493568,NA
"SA_Glycolysis_gluconeogenesis_FBA",2792.73991,2773.1333115,0.784740120892,0.884616136278255,0.992979439857684
"LipidSat_FBA",0,0,0.79021861143583,0.886761156724371,NA
"SA_Glycosphingolipid_metabolism_L1w",2.195e-12,0,0.799589948164499,0.89323561776935,0
